Unidad territorial, Variable, 2002
Chile, Población con discapacidad intelectual o cognitiva, 98149.0
Región De Tarapacá, Población con discapacidad intelectual o cognitiva, 2210.0
General Lagos, Población con discapacidad intelectual o cognitiva, 4.0
Putre, Población con discapacidad intelectual o cognitiva, 15.0
Arica, Población con discapacidad intelectual o cognitiva, 1131.0
Camarones, Población con discapacidad intelectual o cognitiva, 6.0
Colchane, Población con discapacidad intelectual o cognitiva, 27.0
Camiña, Población con discapacidad intelectual o cognitiva, 4.0
Huara, Población con discapacidad intelectual o cognitiva, 18.0
Iquique, Población con discapacidad intelectual o cognitiva, 933.0
Pozo Almonte, Población con discapacidad intelectual o cognitiva, 49.0
Alto Hospicio, Población con discapacidad intelectual o cognitiva, -
Pica, Población con discapacidad intelectual o cognitiva, 23.0
Región De Antofagasta, Población con discapacidad intelectual o cognitiva, 2155.0
Ollagüe, Población con discapacidad intelectual o cognitiva, 0.0
Tocopilla, Población con discapacidad intelectual o cognitiva, 131.0
María Elena, Población con discapacidad intelectual o cognitiva, 12.0
Calama, Población con discapacidad intelectual o cognitiva, 551.0
Sierra Gorda, Población con discapacidad intelectual o cognitiva, 4.0
San Pedro De Atacama, Población con discapacidad intelectual o cognitiva, 19.0
Mejillones, Población con discapacidad intelectual o cognitiva, 26.0
Antofagasta, Población con discapacidad intelectual o cognitiva, 1365.0
Taltal, Población con discapacidad intelectual o cognitiva, 47.0
Región De Atacama, Población con discapacidad intelectual o cognitiva, 1342.0
Chañaral, Población con discapacidad intelectual o cognitiva, 77.0
Diego De Almagro, Población con discapacidad intelectual o cognitiva, 83.0
Caldera, Población con discapacidad intelectual o cognitiva, 64.0
Copiapó, Población con discapacidad intelectual o cognitiva, 660.0
Tierra Amarilla, Población con discapacidad intelectual o cognitiva, 41.0
Huasco, Población con discapacidad intelectual o cognitiva, 53.0
Freirina, Población con discapacidad intelectual o cognitiva, 36.0
Vallenar, Población con discapacidad intelectual o cognitiva, 290.0
Alto Del Carmen, Población con discapacidad intelectual o cognitiva, 38.0
Región De Coquimbo, Población con discapacidad intelectual o cognitiva, 3739.0
La Higuera, Población con discapacidad intelectual o cognitiva, 26.0
La Serena, Población con discapacidad intelectual o cognitiva, 846.0
Coquimbo, Población con discapacidad intelectual o cognitiva, 942.0
Paiguano, Población con discapacidad intelectual o cognitiva, 15.0
Vicuña, Población con discapacidad intelectual o cognitiva, 117.0
Andacollo, Población con discapacidad intelectual o cognitiva, 58.0
Río Hurtado, Población con discapacidad intelectual o cognitiva, 45.0
Ovalle, Población con discapacidad intelectual o cognitiva, 622.0
Monte Patria, Población con discapacidad intelectual o cognitiva, 198.0
Punitaqui, Población con discapacidad intelectual o cognitiva, 85.0
Combarbalá, Población con discapacidad intelectual o cognitiva, 139.0
Canela, Población con discapacidad intelectual o cognitiva, 112.0
Illapel, Población con discapacidad intelectual o cognitiva, 241.0
Salamanca, Población con discapacidad intelectual o cognitiva, 173.0
Los Vilos, Población con discapacidad intelectual o cognitiva, 120.0
Región De Valparaíso, Población con discapacidad intelectual o cognitiva, 10053.0
Isla De Pascua, Población con discapacidad intelectual o cognitiva, 15.0
Petorca, Población con discapacidad intelectual o cognitiva, 90.0
Cabildo, Población con discapacidad intelectual o cognitiva, 152.0
La Ligua, Población con discapacidad intelectual o cognitiva, 177.0
Papudo, Población con discapacidad intelectual o cognitiva, 25.0
Zapallar, Población con discapacidad intelectual o cognitiva, 30.0
Putaendo, Población con discapacidad intelectual o cognitiva, 306.0
Puchuncaví, Población con discapacidad intelectual o cognitiva, 69.0
Nogales, Población con discapacidad intelectual o cognitiva, 169.0
Santa María, Población con discapacidad intelectual o cognitiva, 77.0
San Felipe, Población con discapacidad intelectual o cognitiva, 370.0
Panquehue, Población con discapacidad intelectual o cognitiva, 46.0
Catemu, Población con discapacidad intelectual o cognitiva, 97.0
Quintero, Población con discapacidad intelectual o cognitiva, 169.0
Calera, Población con discapacidad intelectual o cognitiva, 313.0
Hijuelas, Población con discapacidad intelectual o cognitiva, 105.0
San Esteban, Población con discapacidad intelectual o cognitiva, 80.0
La Cruz, Población con discapacidad intelectual o cognitiva, 96.0
Los Andes, Población con discapacidad intelectual o cognitiva, 320.0
Llaillay, Población con discapacidad intelectual o cognitiva, 168.0
Rinconada, Población con discapacidad intelectual o cognitiva, 50.0
Calle Larga, Población con discapacidad intelectual o cognitiva, 56.0
Quillota, Población con discapacidad intelectual o cognitiva, 430.0
Concón, Población con discapacidad intelectual o cognitiva, 142.0
Olmué, Población con discapacidad intelectual o cognitiva, 103.0
Limache, Población con discapacidad intelectual o cognitiva, 378.0
Viña Del Mar, Población con discapacidad intelectual o cognitiva, 1692.0
Valparaíso, Población con discapacidad intelectual o cognitiva, 1852.0
Villa Alemana, Población con discapacidad intelectual o cognitiva, 530.0
Quilpué, Población con discapacidad intelectual o cognitiva, 904.0
Casablanca, Población con discapacidad intelectual o cognitiva, 119.0
Algarrobo, Población con discapacidad intelectual o cognitiva, 49.0
El Quisco, Población con discapacidad intelectual o cognitiva, 67.0
El Tabo, Población con discapacidad intelectual o cognitiva, 33.0
Cartagena, Población con discapacidad intelectual o cognitiva, 96.0
Juan Fernández, Población con discapacidad intelectual o cognitiva, 3.0
Santo Domingo, Población con discapacidad intelectual o cognitiva, 129.0
San Antonio, Población con discapacidad intelectual o cognitiva, 546.0
Región Metropolitana De Santiago, Población con discapacidad intelectual o cognitiva, 37072.0
Tiltil, Población con discapacidad intelectual o cognitiva, 99.0
Colina, Población con discapacidad intelectual o cognitiva, 516.0
Lampa, Población con discapacidad intelectual o cognitiva, 531.0
Lo Barnechea, Población con discapacidad intelectual o cognitiva, 275.0
Quilicura, Población con discapacidad intelectual o cognitiva, 440.0
Huechuraba, Población con discapacidad intelectual o cognitiva, 425.0
Conchalí, Población con discapacidad intelectual o cognitiva, 917.0
Vitacura, Población con discapacidad intelectual o cognitiva, 302.0
Curacaví, Población con discapacidad intelectual o cognitiva, 164.0
Renca, Población con discapacidad intelectual o cognitiva, 925.0
Recoleta, Población con discapacidad intelectual o cognitiva, 1691.0
Independencia, Población con discapacidad intelectual o cognitiva, 623.0
Las Condes, Población con discapacidad intelectual o cognitiva, 1070.0
Cerro Navia, Población con discapacidad intelectual o cognitiva, 1060.0
Quinta Normal, Población con discapacidad intelectual o cognitiva, 715.0
Providencia, Población con discapacidad intelectual o cognitiva, 775.0
Pudahuel, Población con discapacidad intelectual o cognitiva, 1100.0
La Reina, Población con discapacidad intelectual o cognitiva, 541.0
Lo Prado, Población con discapacidad intelectual o cognitiva, 674.0
Santiago, Población con discapacidad intelectual o cognitiva, 1408.0
Ñuñoa, Población con discapacidad intelectual o cognitiva, 1118.0
Estación Central, Población con discapacidad intelectual o cognitiva, 877.0
Peñalolén, Población con discapacidad intelectual o cognitiva, 1128.0
Macul, Población con discapacidad intelectual o cognitiva, 681.0
Pedro Aguirre Cerda, Población con discapacidad intelectual o cognitiva, 814.0
San Joaquín, Población con discapacidad intelectual o cognitiva, 705.0
San Miguel, Población con discapacidad intelectual o cognitiva, 609.0
Cerrillos, Población con discapacidad intelectual o cognitiva, 674.0
Maipú, Población con discapacidad intelectual o cognitiva, 1700.0
María Pinto, Población con discapacidad intelectual o cognitiva, 78.0
Lo Espejo, Población con discapacidad intelectual o cognitiva, 837.0
La Florida, Población con discapacidad intelectual o cognitiva, 2023.0
La Cisterna, Población con discapacidad intelectual o cognitiva, 596.0
La Granja, Población con discapacidad intelectual o cognitiva, 863.0
San Ramón, Población con discapacidad intelectual o cognitiva, 643.0
El Bosque, Población con discapacidad intelectual o cognitiva, 1117.0
Padre Hurtado, Población con discapacidad intelectual o cognitiva, 300.0
La Pintana, Población con discapacidad intelectual o cognitiva, 1532.0
San Bernardo, Población con discapacidad intelectual o cognitiva, 1401.0
Puente Alto, Población con discapacidad intelectual o cognitiva, 2151.0
Peñaflor, Población con discapacidad intelectual o cognitiva, 379.0
Calera De Tango, Población con discapacidad intelectual o cognitiva, 193.0
Pirque, Población con discapacidad intelectual o cognitiva, 119.0
San José De Maipo, Población con discapacidad intelectual o cognitiva, 85.0
Talagante, Población con discapacidad intelectual o cognitiva, 317.0
El Monte, Población con discapacidad intelectual o cognitiva, 173.0
Melipilla, Población con discapacidad intelectual o cognitiva, 569.0
